Tỉnh / Thành phố,Số lượng thiếu giá,Tổng số địa điểm,Tỷ lệ thiếu giá
Hồ Chí Minh,7314,10177,0.7187
Đà Nẵng,4510,6455,0.6987000000000001
Hà Nội,4020,5856,0.6865000000000001
Lâm Đồng,3880,4591,0.8451000000000001
Khánh Hòa,3159,3944,0.8009999999999999
An Giang,2549,2877,0.8859999999999999
Cần Thơ,2531,3153,0.8027
Đắk Lắk,1821,1940,0.9387000000000001
Đồng Nai,1781,2283,0.7801
Thừa Thiên Huế,1556,2217,0.7018000000000001
Quảng Ninh,1327,1549,0.8567
Vĩnh Long,1279,1332,0.9601999999999999
Tây Ninh,1231,1255,0.9809
Đồng Tháp,1197,1256,0.953
Hải Phòng,977,1713,0.5703
Nghệ An,913,1133,0.8058
Thanh Hóa,790,869,0.9091
Gia Lai,682,782,0.8721
Quảng Trị,427,471,0.9066
Bắc Giang,427,457,0.9344
Lào Cai,394,550,0.7164
Hưng Yên,351,373,0.941
Bắc Ninh,331,401,0.8254
Phú Thọ,318,365,0.8712000000000001
Quảng Ngãi,299,323,0.9257
Cà Mau,295,307,0.9609000000000001
Ninh Bình,279,407,0.6855
Kon Tum,232,245,0.9469
Nam Định,225,233,0.9656999999999999
Bạc Liêu,205,216,0.9490999999999999
Thái Nguyên,182,253,0.7193999999999999
Hà Tĩnh,178,191,0.9319
Lạng Sơn,173,185,0.9351
Hòa Bình,165,193,0.8549
Hà Giang,127,199,0.6382
Sơn La,126,149,0.8456
Điện Biên,66,98,0.6735
Tuyên Quang,42,55,0.7636
Cao Bằng,36,52,0.6923
Lai Châu,17,21,0.8095
Bắc Kạn,10,12,0.8332999999999999
