Tỉnh / Thành phố,Nhóm loại hình,Loại hình chi tiết,Số lượng thiếu giá,Tổng số địa điểm,Tỷ lệ thiếu giá
Hồ Chí Minh,Nhóm Ẩm thực & Cafe (restaurant / cafe),Quán ăn,1338,2604,0.5138
Hồ Chí Minh,Nhóm Ẩm thực & Cafe (restaurant / cafe),Cafe & Đồ uống,681,993,0.6858
Hồ Chí Minh,Nhóm Ẩm thực & Cafe (restaurant / cafe),Nhà hàng,517,687,0.7525
Hồ Chí Minh,Nhóm Ẩm thực & Cafe (restaurant / cafe),Tiệm bánh & Tráng miệng,241,385,0.626
Hồ Chí Minh,Nhóm Ẩm thực & Cafe (restaurant / cafe),Pub/Bar,66,73,0.9041
Hồ Chí Minh,Nhóm Ẩm thực & Cafe (restaurant / cafe),Quán chay,49,89,0.5506
Hồ Chí Minh,Nhóm Ẩm thực & Cafe (restaurant / cafe),Buffet & Khu ẩm thực,34,35,0.9714
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Công trình tôn giáo,752,752,1.0
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Thể thao trong nhà,439,439,1.0
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Thể thao ngoài trời,420,420,1.0
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Spa & Thư giãn,365,365,1.0
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Công viên/Quảng trường,180,186,0.9677
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Công viên giải trí,149,149,1.0
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Billiards,141,141,1.0
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Thiên nhiên,117,118,0.9915
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Karaoke,101,101,1.0
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Di tích,95,97,0.9793999999999999
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Nhà hát/Sân khấu,63,67,0.9403
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Bãi biển/Vịnh,56,56,1.0
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Đài quan sát & Khu chụp ảnh,46,51,0.902
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Nông trại,35,35,1.0
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Rạp phim,31,31,1.0
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Bảo tàng & Không gian trưng bày,29,32,0.9062
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Tour có hướng dẫn,21,27,0.7778
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Bảo tàng nghệ thuật/3D,19,21,0.9048
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Phố đi bộ,9,12,0.75
Hồ Chí Minh,Nhóm Tham quan & Vui chơi (attraction / entertainment),Làng nghề,2,2,1.0
Hồ Chí Minh,Nhóm Lưu trú (accommodation),Khách sạn & Resort,483,1140,0.42369999999999997
Hồ Chí Minh,Nhóm Lưu trú (accommodation),Homestay & Villa,271,461,0.5879
Hồ Chí Minh,Nhóm Lưu trú (accommodation),Nhà nghỉ,44,64,0.6875
Hồ Chí Minh,Nhóm Mua sắm (shopping),Chợ truyền thống,219,220,0.9954999999999999
Hồ Chí Minh,Nhóm Mua sắm (shopping),Trung tâm thương mại,119,134,0.8881
