Tỉnh / Thành phố,Số lượng thiếu giá,Tổng số địa điểm,Tỷ lệ thiếu giá
An Giang,0,2677,0.0
Thanh Hoá,0,829,0.0
Nghệ An,0,1100,0.0
Ninh Bình,0,395,0.0
Ninh Thuận,0,144,0.0
Phú Thọ,0,335,0.0
Quảng Bình,0,440,0.0
Quảng Nam,0,2318,0.0
Quảng Ngãi,0,298,0.0
Quảng Ninh,0,1504,0.0
Quảng Trị,0,298,0.0
Sơn La,0,144,0.0
Thái Nguyên,0,236,0.0
Bình Dương,0,1990,0.0
Tiền Giang,0,720,0.0
Tuyên Quang,0,50,0.0
Tây Ninh,0,635,0.0
Vĩnh Long,0,1281,0.0
Vũng Tàu,0,2437,0.0
Yên Bái,0,4218,0.0
Điện Biên,0,90,0.0
Đà Nẵng,0,3202,0.0
Đắk Lắk,0,1866,0.0
Đồng Nai,0,2099,0.0
Nam Định,0,200,0.0
Lạng Sơn,0,174,0.0
Lâm Đồng,0,3116,0.0
Lào Cai,0,537,0.0
Bình Thuận,0,1301,0.0
Bạc Liêu,0,206,0.0
Bắc Giang,0,105,0.0
Bắc Kạn,0,11,0.0
Bắc Ninh,0,354,0.0
Cao Bằng,0,48,0.0
Cà Mau,0,290,0.0
Cần Thơ,0,2841,0.0
Gia Lai,0,738,0.0
Huế,0,2153,0.0
Hà Giang,0,194,0.0
Hà Nội,0,4644,0.0
Hà Tĩnh,0,186,0.0
Hòa Bình,0,153,0.0
Hưng Yên,0,324,0.0
Hải Phòng,0,1543,0.0
Hậu Giang,0,134,0.0
Khánh Hoà,0,3384,0.0
Kon Tum,0,238,0.0
Lai Châu,0,21,0.0
Long An,0,484,0.0
Đồng Tháp,0,454,0.0
